Server Name,Feed Name,Session Name,Channel,Customer,Multicast Group,Switch IP,Interface
VN-NY4-TP-4-p3p1,cts,A-2,A,Victory Networks,233.200.79.129,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-2,A,Victory Networks,233.200.79.129,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-2,A,Victory Networks,233.200.79.129,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-3,A,Victory Networks,233.200.79.130,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-3,A,Victory Networks,233.200.79.130,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-3,A,Victory Networks,233.200.79.130,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-4,A,Victory Networks,233.200.79.131,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-4,A,Victory Networks,233.200.79.131,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-4,A,Victory Networks,233.200.79.131,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-5,A,Victory Networks,233.200.79.132,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-5,A,Victory Networks,233.200.79.132,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-5,A,Victory Networks,233.200.79.132,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-6,A,Victory Networks,233.200.79.133,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-6,A,Victory Networks,233.200.79.133,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-6,A,Victory Networks,233.200.79.133,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-7,A,Victory Networks,233.200.79.134,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-7,A,Victory Networks,233.200.79.134,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-7,A,Victory Networks,233.200.79.134,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-8,A,Victory Networks,233.200.79.135,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-8,A,Victory Networks,233.200.79.135,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-8,A,Victory Networks,233.200.79.135,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-9,A,Victory Networks,233.200.79.136,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-9,A,Victory Networks,233.200.79.136,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-9,A,Victory Networks,233.200.79.136,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-10,A,Victory Networks,233.200.79.137,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-10,A,Victory Networks,233.200.79.137,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-10,A,Victory Networks,233.200.79.137,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-11,A,Victory Networks,233.200.79.138,10.75.128.9,Et10
